feature_index,rank_control,rank_nocontrol,interpretation,paralinguistic,paralinguistic_justification,verify_status,verify_date,verify_reason
15136,5899,6138,,,,,,
15135,5900,6139,,,,,,
15134,5901,6140,,,,,,
15129,5902,6141,,,,,,
15133,5903,6142,,,,,,
15132,5904,6143,,,,,,
15131,5905,6144,,,,,,
14910,5906,6145,,,,,,
15130,5907,6146,,,,,,
14911,5908,6147,,,,,,
15111,5909,6148,,,,,,
14905,5910,6149,,,,,,
14926,5911,6150,,,,,,
15096,5912,6151,,,,,,
14927,5913,6152,,,,,,
15092,5914,6153,,,,,,
14929,5915,6154,,,,,,
14930,5916,6155,,,,,,
15088,5917,6156,,,,,,
15097,5918,6157,,,,,,
14922,5919,6158,,,,,,
15110,5920,6159,,,,,,
15109,5921,6160,,,,,,
15108,5922,6161,,,,,,
14919,5923,6162,,,,,,
14920,5924,6163,,,,,,
15104,5925,6164,,,,,,
15102,5926,6165,,,,,,
15101,5927,6166,,,,,,
14906,5928,6167,,,,,,
15139,5929,6168,,,,,,
15387,5930,6169,,,,,,
14890,5931,6170,,,,,,
15178,5932,6171,,,,,,
14891,5933,6172,,,,,,
15177,5934,6173,,,,,,
15181,5935,6174,,,,,,
14894,5936,6175,,,,,,
15175,5937,6176,,,,,,
15174,5938,6177,,,,,,
15173,5939,6178,,,,,,
14888,5940,6179,,,,,,
15182,5941,6180,,,,,,
15171,5942,6181,,,,,,
14880,5943,6182,,,,,,
14881,5944,6183,,,,,,
14882,5945,6184,,,,,,
14884,5946,6185,,,,,,
15183,5947,6186,,,,,,
14886,5948,6187,,,,,,
14887,5949,6188,,,,,,
15185,5950,6189,,,,,,
15184,5951,6190,,,,,,
15172,5952,6191,,,,,,
14896,5953,6192,,,,,,
15148,5954,6193,,,,,,
14903,5955,6194,,,,,,
15152,5956,6195,,,,,,
15151,5957,6196,,,,,,
15150,5958,6197,,,,,,
14904,5959,6198,,,,,,
15142,5960,6199,,,,,,
15164,5961,6200,,,,,,
14897,5962,6201,,,,,,
14900,5963,6202,,,,,,
15167,5964,6203,,,,,,
15162,5965,6204,,,,,,
15158,5966,6205,,,,,,
14967,5967,6206,,,,,,
15020,5968,6207,,,,,,
14966,5969,6208,,,,,,
14969,5970,6209,,,,,,
15015,5971,6210,,,,,,
14970,5972,6211,,,,,,
15014,5973,6212,,,,,,
15033,5974,6213,,,,,,
15032,5975,6214,,,,,,
15031,5976,6215,,,,,,
15029,5977,6216,,,,,,
14963,5978,6217,,,,,,
15028,5979,6218,,,,,,
15027,5980,6219,,,,,,
14965,5981,6220,,,,,,
14973,5982,6221,,,,,,
14982,5983,6222,,,,,,
14983,5984,6223,,,,,,
14984,5985,6224,,,,,,
14996,5986,6225,,,,,,
14993,5987,6226,,,,,,
14999,5988,6227,,,,,,
14991,5989,6228,,,,,,
14987,5990,6229,,,,,,
14998,5991,6230,,,,,,
15000,5992,6231,,,,,,
15011,5993,6232,,,,,,
15010,5994,6233,,,,,,
14976,5995,6234,,,,,,
14978,5996,6235,,,,,,
15008,5997,6236,,,,,,
14981,5998,6237,,,,,,
15003,5999,6238,,,,,,
15002,6000,6239,,,,,,
14959,6001,6240,,,,,,
15035,6002,6241,,,,,,
15036,6003,6242,,,,,,
15067,6004,6243,,,,,,
14938,6005,6244,,,,,,
14939,6006,6245,,,,,,
14940,6007,6246,,,,,,
15070,6008,6247,,,,,,
15069,6009,6248,,,,,,
15068,6010,6249,,,,,,
15073,6011,6250,,,,,,
14942,6012,6251,,,,,,
15063,6013,6252,,,,,,
15072,6014,6253,,,,,,
14958,6015,6254,,,,,,
14933,6016,6255,,,,,,
15084,6017,6256,,,,,,
15083,6018,6257,,,,,,
15082,6019,6258,,,,,,
15081,6020,6259,,,,,,
15079,6021,6260,,,,,,
15074,6022,6261,,,,,,
15077,6023,6262,,,,,,
14935,6024,6263,,,,,,
14936,6025,6264,,,,,,
15075,6026,6265,,,,,,
14945,6027,6266,,,,,,
15043,6028,6267,,,,,,
15048,6029,6268,,,,,,
14953,6030,6269,,,,,,
14954,6031,6270,,,,,,
15042,6032,6271,,,,,,
14946,6033,6272,,,,,,
15040,6034,6273,,,,,,
15038,6035,6274,,,,,,
14956,6036,6275,,,,,,
14951,6037,6276,,,,,,
15051,6038,6277,,,,,,
14950,6039,6278,,,,,,
14949,6040,6279,,,,,,
14948,6041,6280,,,,,,
15059,6042,6281,,,,,,
15191,6043,6282,,,,,,
14802,6044,6283,,,,,,
15326,6045,6284,,,,,,
14800,6046,6285,,,,,,
14801,6047,6286,,,,,,
15324,6048,6287,,,,,,
15322,6049,6288,,,,,,
15319,6050,6289,,,,,,
15315,6051,6290,,,,,,
14803,6052,6291,,,,,,
14804,6053,6292,,,,,,
14794,6054,6293,,,,,,
15338,6055,6294,,,,,,
15336,6056,6295,,,,,,
14795,6057,6296,,,,,,
15333,6058,6297,,,,,,
15329,6059,6298,,,,,,
14797,6060,6299,,,,,,
15331,6061,6300,,,,,,
15330,6062,6301,,,,,,
14798,6063,6302,,,,,,
15314,6064,6303,,,,,,
15301,6065,6304,,,,,,
15300,6066,6305,,,,,,
15299,6067,6306,,,,,,
15297,6068,6307,,,,,,
14815,6069,6308,,,,,,
15291,6070,6309,,,,,,
14819,6071,6310,,,,,,
15290,6072,6311,,,,,,
14812,6073,6312,,,,,,
15308,6074,6313,,,,,,
15310,6075,6314,,,,,,
14805,6076,6315,,,,,,
14806,6077,6316,,,,,,
14807,6078,6317,,,,,,
14808,6079,6318,,,,,,
15309,6080,6319,,,,,,
15306,6081,6320,,,,,,
14809,6082,6321,,,,,,
15305,6083,6322,,,,,,
14810,6084,6323,,,,,,
15303,6085,6324,,,,,,
14793,6086,6325,,,,,,
15341,6087,6326,,,,,,
15369,6088,6327,,,,,,
15371,6089,6328,,,,,,
15370,6090,6329,,,,,,
14766,6091,6330,,,,,,
14767,6092,6331,,,,,,
15367,6093,6332,,,,,,
15366,6094,6333,,,,,,
15364,6095,6334,,,,,,
14758,6096,6335,,,,,,
15386,6097,6336,,,,,,
15384,6098,6337,,,,,,
14763,6099,6338,,,,,,
14759,6100,6339,,,,,,
14761,6101,6340,,,,,,
14769,6102,6341,,,,,,
15362,6103,6342,,,,,,
15348,6104,6343,,,,,,
14784,6105,6344,,,,,,
14786,6106,6345,,,,,,
14787,6107,6346,,,,,,
14788,6108,6347,,,,,,
15347,6109,6348,,,,,,
14792,6110,6349,,,,,,
15343,6111,6350,,,,,,
14782,6112,6351,,,,,,
15353,6113,6352,,,,,,
14781,6114,6353,,,,,,
15354,6115,6354,,,,,,
14779,6116,6355,,,,,,
14778,6117,6356,,,,,,
15357,6118,6357,,,,,,
15358,6119,6358,,,,,,
14773,6120,6359,,,,,,
14771,6121,6360,,,,,,
15361,6122,6361,,,,,,
15222,6123,6362,,,,,,
14858,6124,6363,,,,,,
14859,6125,6364,,,,,,
14864,6126,6365,,,,,,
15227,6127,6366,,,,,,
15216,6128,6367,,,,,,
14850,6129,6368,,,,,,
14851,6130,6369,,,,,,
15238,6131,6370,,,,,,
15236,6132,6371,,,,,,
15230,6133,6372,,,,,,
15234,6134,6373,,,,,,
15233,6135,6374,,,,,,
15232,6136,6375,,,,,,
14855,6137,6376,,,,,,
15217,6138,6377,,,,,,
15215,6139,6378,,,,,,
15198,6140,6379,,,,,,
14872,6141,6380,,,,,,
14874,6142,6381,,,,,,
15199,6143,6382,,,,,,
14875,6144,6383,,,,,,
14871,6145,6384,,,,,,
14877,6146,6385,,,,,,
15197,6147,6386,,,,,,
15195,6148,6387,,,,,,
15201,6149,6388,,,,,,
15202,6150,6389,,,,,,
15208,6151,6390,,,,,,
15212,6152,6391,,,,,,
14866,6153,6392,,,,,,
15203,6154,6393,,,,,,
15205,6155,6394,,,,,,
14867,6156,6395,,,,,,
14869,6157,6396,,,,,,
15204,6158,6397,,,,,,
15240,6159,6398,,,,,,
15241,6160,6399,,,,,,
14834,6161,6400,,,,,,
14832,6162,6401,,,,,,
15274,6163,6402,,,,,,
15273,6164,6403,,,,,,
15279,6165,6404,,,,,,
15272,6166,6405,,,,,,
15271,6167,6406,,,,,,
14835,6168,6407,,,,,,
15269,6169,6408,,,,,,
15280,6170,6409,,,,,,
14822,6171,6410,,,,,,
14823,6172,6411,,,,,,
15284,6173,6412,,,,,,
14831,6174,6413,,,,,,
14828,6175,6414,,,,,,
14829,6176,6415,,,,,,
15267,6177,6416,,,,,,
15266,6178,6417,,,,,,
15248,6179,6418,,,,,,
15252,6180,6419,,,,,,
15251,6181,6420,,,,,,
14845,6182,6421,,,,,,
15250,6183,6422,,,,,,
14846,6184,6423,,,,,,
15249,6185,6424,,,,,,
15247,6186,6425,,,,,,
15246,6187,6426,,,,,,
15245,6188,6427,,,,,,
15254,6189,6428,,,,,,
15258,6190,6429,,,,,,
14843,6191,6430,,,,,,
14842,6192,6431,,,,,,
14841,6193,6432,,,,,,
14840,6194,6433,,,,,,
14839,6195,6434,,,,,,
15262,6196,6435,,,,,,
15263,6197,6436,,,,,,
15264,6198,6437,,,,,,
14838,6199,6438,,,,,,
15265,6200,6439,,,,,,
15803,6201,6440,,,,,,
16620,6202,6441,,,,,,
14222,6203,6442,,,,,,
16352,6204,6443,,,,,,
16351,6205,6444,,,,,,
14223,6206,6445,,,,,,
14226,6207,6446,,,,,,
14228,6208,6447,,,,,,
14221,6209,6448,,,,,,
16364,6210,6449,,,,,,
14215,6211,6450,,,,,,
16361,6212,6451,,,,,,
16360,6213,6452,,,,,,
16359,6214,6453,,,,,,
16355,6215,6454,,,,,,
14218,6216,6455,,,,,,
16356,6217,6456,,,,,,
14220,6218,6457,,,,,,
16343,6219,6458,,,,,,
16365,6220,6459,,,,,,
16324,6221,6460,,,,,,
16329,6222,6461,,,,,,
16328,6223,6462,,,,,,
16327,6224,6463,,,,,,
14243,6225,6464,,,,,,
14244,6226,6465,,,,,,
16323,6227,6466,,,,,,
16322,6228,6467,,,,,,
14245,6229,6468,,,,,,
14246,6230,6469,,,,,,
16321,6231,6470,,,,,,
16319,6232,6471,,,,,,
14242,6233,6472,,,,,,
16331,6234,6473,,,,,,
14231,6235,6474,,,,,,
14234,6236,6475,,,,,,
16341,6237,6476,,,,,,
16340,6238,6477,,,,,,
16339,6239,6478,,,,,,
14233,6240,6479,,,,,,
14236,6241,6480,,,,,,
16335,6242,6481,,,,,,
16334,6243,6482,,,,,,
16333,6244,6483,,,,,,
14240,6245,6484,,,,,,
14213,6246,6485,,,,,,
16366,6247,6486,,,,,,
14193,6248,6487,,,,,,
16405,6249,6488,,,,,,
16404,6250,6489,,,,,,
16403,6251,6490,,,,,,
16401,6252,6491,,,,,,
16400,6253,6492,,,,,,
14192,6254,6493,,,,,,
16397,6255,6494,,,,,,
14198,6256,6495,,,,,,
14199,6257,6496,,,,,,
16406,6258,6497,,,,,,
16407,6259,6498,,,,,,
16392,6260,6499,,,,,,
16414,6261,6500,,,,,,
14188,6262,6501,,,,,,
14189,6263,6502,,,,,,
16417,6264,6503,,,,,,
16413,6265,6504,,,,,,
16408,6266,6505,,,,,,
16412,6267,6506,,,,,,
16410,6268,6507,,,,,,
16409,6269,6508,,,,,,
16391,6270,6509,,,,,,
14209,6271,6510,,,,,,
16377,6272,6511,,,,,,
16376,6273,6512,,,,,,
14208,6274,6513,,,,,,
16374,6275,6514,,,,,,
14207,6276,6515,,,,,,
16371,6277,6516,,,,,,
16370,6278,6517,,,,,,
16369,6279,6518,,,,,,
14211,6280,6519,,,,,,
14212,6281,6520,,,,,,
16368,6282,6521,,,,,,
16378,6283,6522,,,,,,
16389,6284,6523,,,,,,
14201,6285,6524,,,,,,
16386,6286,6525,,,,,,
16385,6287,6526,,,,,,
16384,6288,6527,,,,,,
14203,6289,6528,,,,,,
16381,6290,6529,,,,,,
14205,6291,6530,,,,,,
16318,6292,6531,,,,,,
16317,6293,6532,,,,,,
16251,6294,6533,,,,,,
16250,6295,6534,,,,,,
16249,6296,6535,,,,,,
16248,6297,6536,,,,,,
16246,6298,6537,,,,,,
14282,6299,6538,,,,,,
16241,6300,6539,,,,,,
16262,6301,6540,,,,,,
14273,6302,6541,,,,,,
14276,6303,6542,,,,,,
16255,6304,6543,,,,,,
16259,6305,6544,,,,,,
14277,6306,6545,,,,,,
14278,6307,6546,,,,,,
16256,6308,6547,,,,,,
16223,6309,6548,,,,,,
16225,6310,6549,,,,,,
14299,6311,6550,,,,,,
16224,6312,6551,,,,,,
14295,6313,6552,,,,,,
16219,6314,6553,,,,,,
14301,6315,6554,,,,,,
16217,6316,6555,,,,,,
16216,6317,6556,,,,,,
16239,6318,6557,,,,,,
16236,6319,6558,,,,,,
16234,6320,6559,,,,,,
16232,6321,6560,,,,,,
14289,6322,6561,,,,,,
14290,6323,6562,,,,,,
14272,6324,6563,,,,,,
16303,6325,6564,,,,,,
16306,6326,6565,,,,,,
14258,6327,6566,,,,,,
16304,6328,6567,,,,,,
16302,6329,6568,,,,,,
14256,6330,6569,,,,,,
16301,6331,6570,,,,,,
14261,6332,6571,,,,,,
16299,6333,6572,,,,,,
16298,6334,6573,,,,,,
14252,6335,6574,,,,,,
14247,6336,6575,,,,,,
16314,6337,6576,,,,,,
14254,6338,6577,,,,,,
16312,6339,6578,,,,,,
16311,6340,6579,,,,,,
16310,6341,6580,,,,,,
16297,6342,6581,,,,,,
16296,6343,6582,,,,,,
14263,6344,6583,,,,,,
16274,6345,6584,,,,,,
16279,6346,6585,,,,,,
16278,6347,6586,,,,,,
14270,6348,6587,,,,,,
16277,6349,6588,,,,,,
16276,6350,6589,,,,,,
16275,6351,6590,,,,,,
16273,6352,6591,,,,,,
16269,6353,6592,,,,,,
14271,6354,6593,,,,,,
16280,6355,6594,,,,,,
14269,6356,6595,,,,,,
16282,6357,6596,,,,,,
16286,6358,6597,,,,,,
16287,6359,6598,,,,,,
16288,6360,6599,,,,,,
14265,6361,6600,,,,,,
16290,6362,6601,,,,,,
16291,6363,6602,,,,,,
16292,6364,6603,,,,,,
14187,6365,6604,,,,,,
14186,6366,6605,,,,,,
14116,6367,6606,,,,,,
16555,6368,6607,,,,,,
16558,6369,6608,,,,,,
16551,6370,6609,,,,,,
16550,6371,6610,,,,,,
16548,6372,6611,,,,,,
16547,6373,6612,,,,,,
14118,6374,6613,,,,,,
16557,6375,6614,,,,,,
14112,6376,6615,,,,,,
16563,6377,6616,,,,,,
16567,6378,6617,,,,,,
14105,6379,6618,,,,,,
16566,6380,6619,,,,,,
16565,6381,6620,,,,,,
16564,6382,6621,,,,,,
16562,6383,6622,,,,,,
14107,6384,6623,,,,,,
14108,6385,6624,,,,,,
16560,6386,6625,,,,,,
14111,6387,6626,,,,,,
16518,6388,6627,,,,,,
16524,6389,6628,,,,,,
16528,6390,6629,,,,,,
16526,6391,6630,,,,,,
14125,6392,6631,,,,,,
16525,6393,6632,,,,,,
14126,6394,6633,,,,,,
16522,6395,6634,,,,,,
16521,6396,6635,,,,,,
14127,6397,6636,,,,,,
16520,6398,6637,,,,,,
14128,6399,6638,,,,,,
16519,6400,6639,,,,,,
16542,6401,6640,,,,,,
16541,6402,6641,,,,,,
16540,6403,6642,,,,,,
16538,6404,6643,,,,,,
14120,6405,6644,,,,,,
16532,6406,6645,,,,,,
16535,6407,6646,,,,,,
14121,6408,6647,,,,,,
14123,6409,6648,,,,,,
16533,6410,6649,,,,,,
16568,6411,6650,,,,,,
14104,6412,6651,,,,,,
14103,6413,6652,,,,,,
14084,6414,6653,,,,,,
14085,6415,6654,,,,,,
14087,6416,6655,,,,,,
14080,6417,6656,,,,,,
16619,6418,6657,,,,,,
14079,6419,6658,,,,,,
16608,6420,6659,,,,,,
16614,6421,6660,,,,,,
16613,6422,6661,,,,,,
16612,6423,6662,,,,,,
16610,6424,6663,,,,,,
16609,6425,6664,,,,,,
16594,6426,6665,,,,,,
16576,6427,6666,,,,,,
16580,6428,6667,,,,,,
14097,6429,6668,,,,,,
14100,6430,6669,,,,,,
16574,6431,6670,,,,,,
14101,6432,6671,,,,,,
14102,6433,6672,,,,,,
16570,6434,6673,,,,,,
16582,6435,6674,,,,,,
14986,6436,6675,,,,,,
16585,6437,6676,,,,,,
16588,6438,6677,,,,,,
16591,6439,6678,,,,,,
14094,6440,6679,,,,,,
16593,6441,6680,,,,,,
14093,6442,6681,,,,,,
14129,6443,6682,,,,,,
14130,6444,6683,,,,,,
16421,6445,6684,,,,,,
16452,6446,6685,,,,,,
14163,6447,6686,,,,,,
14166,6448,6687,,,,,,
16454,6449,6688,,,,,,
16445,6450,6689,,,,,,
14168,6451,6690,,,,,,
14169,6452,6691,,,,,,
16464,6453,6692,,,,,,
14154,6454,6693,,,,,,
14155,6455,6694,,,,,,
14157,6456,6695,,,,,,
16462,6457,6696,,,,,,
16456,6458,6697,,,,,,
16461,6459,6698,,,,,,
16459,6460,6699,,,,,,
16429,6461,6700,,,,,,
16433,6462,6701,,,,,,
14184,6463,6702,,,,,,
16431,6464,6703,,,,,,
16428,6465,6704,,,,,,
16427,6466,6705,,,,,,
16426,6467,6706,,,,,,
16425,6468,6707,,,,,,
16434,6469,6708,,,,,,
16442,6470,6709,,,,,,
14172,6471,6710,,,,,,
14173,6472,6711,,,,,,
14175,6473,6712,,,,,,
16441,6474,6713,,,,,,
16439,6475,6714,,,,,,
16436,6476,6715,,,,,,
14178,6477,6716,,,,,,
14179,6478,6717,,,,,,
14180,6479,6718,,,,,,
14181,6480,6719,,,,,,
14153,6481,6720,,,,,,
14152,6482,6721,,,,,,
16499,6483,6722,,,,,,
16496,6484,6723,,,,,,
14139,6485,6724,,,,,,
16494,6486,6725,,,,,,
14141,6487,6726,,,,,,
16493,6488,6727,,,,,,
14138,6489,6728,,,,,,
14132,6490,6729,,,,,,
14133,6491,6730,,,,,,
16515,6492,6731,,,,,,
16514,6493,6732,,,,,,
14135,6494,6733,,,,,,
16508,6495,6734,,,,,,
16507,6496,6735,,,,,,
16491,6497,6736,,,,,,
16474,6498,6737,,,,,,
14149,6499,6738,,,,,,
14150,6500,6739,,,,,,
16477,6501,6740,,,,,,
16490,6502,6741,,,,,,
16471,6503,6742,,,,,,
16469,6504,6743,,,,,,
16468,6505,6744,,,,,,
16467,6506,6745,,,,,,
16479,6507,6746,,,,,,
16480,6508,6747,,,,,,
16481,6509,6748,,,,,,
16482,6510,6749,,,,,,
16483,6511,6750,,,,,,
16485,6512,6751,,,,,,
14146,6513,6752,,,,,,
16487,6514,6753,,,,,,
16488,6515,6754,,,,,,
14144,6516,6755,,,,,,
16489,6517,6756,,,,,,
16215,6518,6757,,,,,,
14519,6519,6758,,,,,,
15936,6520,6759,,,,,,
15942,6521,6760,,,,,,
15941,6522,6761,,,,,,
15938,6523,6762,,,,,,
14447,6524,6763,,,,,,
15944,6525,6764,,,,,,
15933,6526,6765,,,,,,
14449,6527,6766,,,,,,
15932,6528,6767,,,,,,
14450,6529,6768,,,,,,
15931,6530,6769,,,,,,
14439,6531,6770,,,,,,
15955,6532,6771,,,,,,
15953,6533,6772,,,,,,
14444,6534,6773,,,,,,
14445,6535,6774,,,,,,
15949,6536,6775,,,,,,
15930,6537,6776,,,,,,
14452,6538,6777,,,,,,
14461,6539,6778,,,,,,
15913,6540,6779,,,,,,
14460,6541,6780,,,,,,
15908,6542,6781,,,,,,
15915,6543,6782,,,,,,
14463,6544,6783,,,,,,
14464,6545,6784,,,,,,
14465,6546,6785,,,,,,
15906,6547,6786,,,,,,
15914,6548,6787,,,,,,
15926,6549,6788,,,,,,
14456,6550,6789,,,,,,
14453,6551,6790,,,,,,
15925,6552,6791,,,,,,
14454,6553,6792,,,,,,
15924,6554,6793,,,,,,
14455,6555,6794,,,,,,
15922,6556,6795,,,,,,
15917,6557,6796,,,,,,
15921,6558,6797,,,,,,
14459,6559,6798,,,,,,
15920,6560,6799,,,,,,
15918,6561,6800,,,,,,
14302,6562,6801,,,,,,
15990,6563,6802,,,,,,
15992,6564,6803,,,,,,
14417,6565,6804,,,,,,
15991,6566,6805,,,,,,
15989,6567,6806,,,,,,
14415,6568,6807,,,,,,
15988,6569,6808,,,,,,
15985,6570,6809,,,,,,
15995,6571,6810,,,,,,
14419,6572,6811,,,,,,
14409,6573,6812,,,,,,
16005,6574,6813,,,,,,
16003,6575,6814,,,,,,
16002,6576,6815,,,,,,
14407,6577,6816,,,,,,
16001,6578,6817,,,,,,
14410,6579,6818,,,,,,
14411,6580,6819,,,,,,
14421,6581,6820,,,,,,
14434,6582,6821,,,,,,
14428,6583,6822,,,,,,
15965,6584,6823,,,,,,
14429,6585,6824,,,,,,
15968,6586,6825,,,,,,
14430,6587,6826,,,,,,
14431,6588,6827,,,,,,
15959,6589,6828,,,,,,
15958,6590,6829,,,,,,
14432,6591,6830,,,,,,
14433,6592,6831,,,,,,
15967,6593,6832,,,,,,
15969,6594,6833,,,,,,
15982,6595,6834,,,,,,
15977,6596,6835,,,,,,
14422,6597,6836,,,,,,
15979,6598,6837,,,,,,
14425,6599,6838,,,,,,
14426,6600,6839,,,,,,
15976,6601,6840,,,,,,
15973,6602,6841,,,,,,
15972,6603,6842,,,,,,
15971,6604,6843,,,,,,
14466,6605,6844,,,,,,
14467,6606,6845,,,,,,
15836,6607,6846,,,,,,
15842,6608,6847,,,,,,
15840,6609,6848,,,,,,
14500,6610,6849,,,,,,
14501,6611,6850,,,,,,
15837,6612,6851,,,,,,
15844,6613,6852,,,,,,
15832,6614,6853,,,,,,
15831,6615,6854,,,,,,
15830,6616,6855,,,,,,
14502,6617,6856,,,,,,
14499,6618,6857,,,,,,
15851,6619,6858,,,,,,
15857,6620,6859,,,,,,
15856,6621,6860,,,,,,
15855,6622,6861,,,,,,
15854,6623,6862,,,,,,
15853,6624,6863,,,,,,
15852,6625,6864,,,,,,
14496,6626,6865,,,,,,
15846,6627,6866,,,,,,
15849,6628,6867,,,,,,
15848,6629,6868,,,,,,
15847,6630,6869,,,,,,
14504,6631,6870,,,,,,
15828,6632,6871,,,,,,
14468,6633,6872,,,,,,
14515,6634,6873,,,,,,
15813,6635,6874,,,,,,
14512,6636,6875,,,,,,
15809,6637,6876,,,,,,
14516,6638,6877,,,,,,
15814,6639,6878,,,,,,
15808,6640,6879,,,,,,
15807,6641,6880,,,,,,
15806,6642,6881,,,,,,
14517,6643,6882,,,,,,
15805,6644,6883,,,,,,
15827,6645,6884,,,,,,
15826,6646,6885,,,,,,
15825,6647,6886,,,,,,
15824,6648,6887,,,,,,
14508,6649,6888,,,,,,
14509,6650,6889,,,,,,
14510,6651,6890,,,,,,
14479,6652,6891,,,,,,
15893,6653,6892,,,,,,
15892,6654,6893,,,,,,
14476,6655,6894,,,,,,
14478,6656,6895,,,,,,
15891,6657,6896,,,,,,
15890,6658,6897,,,,,,
14480,6659,6898,,,,,,
14481,6660,6899,,,,,,
14482,6661,6900,,,,,,
14483,6662,6901,,,,,,
15886,6663,6902,,,,,,
14474,6664,6903,,,,,,
15903,6665,6904,,,,,,
14470,6666,6905,,,,,,
15895,6667,6906,,,,,,
14471,6668,6907,,,,,,
14472,6669,6908,,,,,,
14473,6670,6909,,,,,,
15898,6671,6910,,,,,,
15896,6672,6911,,,,,,
15884,6673,6912,,,,,,
15883,6674,6913,,,,,,
14487,6675,6914,,,,,,
14489,6676,6915,,,,,,
14490,6677,6916,,,,,,
15864,6678,6917,,,,,,
15863,6679,6918,,,,,,
15862,6680,6919,,,,,,
15861,6681,6920,,,,,,
15859,6682,6921,,,,,,
14491,6683,6922,,,,,,
15868,6684,6923,,,,,,
15869,6685,6924,,,,,,
15870,6686,6925,,,,,,
15872,6687,6926,,,,,,
15873,6688,6927,,,,,,
15874,6689,6928,,,,,,
15877,6690,6929,,,,,,
14486,6691,6930,,,,,,
15879,6692,6931,,,,,,
15880,6693,6932,,,,,,
15881,6694,6933,,,,,,
15882,6695,6934,,,,,,
14404,6696,6935,,,,,,
14403,6697,6936,,,,,,
14402,6698,6937,,,,,,
16140,6699,6938,,,,,,
16143,6700,6939,,,,,,
14335,6701,6940,,,,,,
16142,6702,6941,,,,,,
16141,6703,6942,,,,,,
16145,6704,6943,,,,,,
16139,6705,6944,,,,,,
16138,6706,6945,,,,,,
16136,6707,6946,,,,,,
16135,6708,6947,,,,,,
16146,6709,6948,,,,,,
16132,6710,6949,,,,,,
14329,6711,6950,,,,,,
16152,6712,6951,,,,,,
16151,6713,6952,,,,,,
14330,6714,6953,,,,,,
16150,6715,6954,,,,,,
14331,6716,6955,,,,,,
16149,6717,6956,,,,,,
16148,6718,6957,,,,,,
16133,6719,6958,,,,,,
16131,6720,6959,,,,,,
14348,6721,6960,,,,,,
16116,6722,6961,,,,,,
16115,6723,6962,,,,,,
14347,6724,6963,,,,,,
16113,6725,6964,,,,,,
14351,6726,6965,,,,,,
16112,6727,6966,,,,,,
16111,6728,6967,,,,,,
16120,6729,6968,,,,,,
16128,6730,6969,,,,,,
16127,6731,6970,,,,,,
14339,6732,6971,,,,,,
16125,6733,6972,,,,,,
16122,6734,6973,,,,,,
14345,6735,6974,,,,,,
14324,6736,6975,,,,,,
16157,6737,6976,,,,,,
16194,6738,6977,,,,,,
16198,6739,6978,,,,,,
16197,6740,6979,,,,,,
16195,6741,6980,,,,,,
14309,6742,6981,,,,,,
16200,6743,6982,,,,,,
16193,6744,6983,,,,,,
16191,6745,6984,,,,,,
16190,6746,6985,,,,,,
14312,6747,6986,,,,,,
16199,6748,6987,,,,,,
16158,6749,6988,,,,,,
16212,6750,6989,,,,,,
16211,6751,6990,,,,,,
14303,6752,6991,,,,,,
16209,6753,6992,,,,,,
16208,6754,6993,,,,,,
16207,6755,6994,,,,,,
16201,6756,6995,,,,,,
14305,6757,6996,,,,,,
16204,6758,6997,,,,,,
16203,6759,6998,,,,,,
16202,6760,6999,,,,,,
16186,6761,7000,,,,,,
16185,6762,7001,,,,,,
14320,6763,7002,,,,,,
14321,6764,7003,,,,,,
16168,6765,7004,,,,,,
16167,6766,7005,,,,,,
14322,6767,7006,,,,,,
16166,6768,7007,,,,,,
16184,6769,7008,,,,,,
16163,6770,7009,,,,,,
16162,6771,7010,,,,,,
16161,6772,7011,,,,,,
14323,6773,7012,,,,,,
16171,6774,7013,,,,,,
16172,6775,7014,,,,,,
16173,6776,7015,,,,,,
16174,6777,7016,,,,,,
14317,6778,7017,,,,,,
16177,6779,7018,,,,,,
16179,6780,7019,,,,,,
14315,6781,7020,,,,,,
16183,6782,7021,,,,,,
16110,6783,7022,,,,,,
16108,6784,7023,,,,,,
14401,6785,7024,,,,,,
16038,6786,7025,,,,,,
14383,6787,7026,,,,,,
16041,6788,7027,,,,,,
14384,6789,7028,,,,,,
16040,6790,7029,,,,,,
14386,6791,7030,,,,,,
16037,6792,7031,,,,,,
16035,6793,7032,,,,,,
14376,6794,7033,,,,,,
16051,6795,7034,,,,,,
16044,6796,7035,,,,,,
16049,6797,7036,,,,,,
16047,6798,7037,,,,,,
16046,6799,7038,,,,,,
14388,6800,7039,,,,,,
16018,6801,7040,,,,,,
14399,6802,7041,,,,,,
16017,6803,7042,,,,,,
16016,6804,7043,,,,,,
16014,6805,7044,,,,,,
16012,6806,7045,,,,,,
16020,6807,7046,,,,,,
16011,6808,7047,,,,,,
16010,6809,7048,,,,,,
16007,6810,7049,,,,,,
14398,6811,7050,,,,,,
16030,6812,7051,,,,,,
14391,6813,7052,,,,,,
16029,6814,7053,,,,,,
16028,6815,7054,,,,,,
16027,6816,7055,,,,,,
14390,6817,7056,,,,,,
14393,6818,7057,,,,,,
14394,6819,7058,,,,,,
16023,6820,7059,,,,,,
14395,6821,7060,,,,,,
16054,6822,7061,,,,,,
16087,6823,7062,,,,,,
14357,6824,7063,,,,,,
16090,6825,7064,,,,,,
16086,6826,7065,,,,,,
16094,6827,7066,,,,,,
